# authors=Abraxas1010 (IAOM / Apoth3osis); The Institute for Ontological Mathematics / Equation Capital dba Apoth3osis
# generated_by=scripts/small-step-coverage.py
# instruction_source_sha256=4cb0ec52705959906122b09d88414bfa05a81b1776eb3be3a5392e23e773543b
instruction,decoder,old_semantics,step_relation,step_function,soundness,completeness,determinism,invariant_preservation,old_new_refinement,examples,testsuite,differential_seed,milestone,notes
f32Floor,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Trunc,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Nearest,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Abs,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Neg,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Sqrt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Ceil,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Floor,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Trunc,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Nearest,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Eq,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Ne,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Lt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Gt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Le,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Ge,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Eq,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Ne,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Lt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Gt,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Le,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Ge,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Load,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Load,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32Store,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64Store,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32ConvertI32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32ConvertI32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32ConvertI64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32ConvertI64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64ConvertI32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64ConvertI32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64ConvertI64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64ConvertI64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncF32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncF32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncF64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncF64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncF32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncF32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncF64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncF64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncSatF32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncSatF32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncSatF64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32TruncSatF64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
